CompanyName,ProjectType,LoanType,Address,City,State,ZIP_Code,Latitude,Longitude,CityCouncilDistrict,CityCouncilSuperDistrict,CountyCommissionDistrict,Term,ProjectedNewJobs,ProjectedRetainedJobs,AveragePayroll,Approved_Date,LoanAmount,LoanUse,InterestRate,TotalProjectedCapitalInvestment,PCI_RealProperty,PCI_Acquisition,PCI_Construction,PCI_Renovation,PCI_MachineryEquipment,PCI_FurnitureFixturesOffice,PCI_Equipment,PCI_FeesSoftCosts,PCI_PermanentWorkingCapital,PCI_Miscellaneous
"Dream Academy Learning Center, Inc ",Neighborhood Project,Inner City Economic Development Loan,6635 Quince Road,Memphis,TN,38119,35.06802305,-89.84186576,2,9,12,3,2,,,3/2/2025,18000,,,27000,,,,,,,,,,
"The Four Way, LLC ",Neighborhood Project,Inner City Economic Development Loan,998 Mississippi Blvd,Memphis,TN,38126,35.11955475,-90.03872354,6,8,8,3,2,,,3/2/2025,15216,,,22825,,,,,,,,,,
Gentleman�s Retreat LLC ,Neighborhood Project,Inner City Economic Development Loan,376 N. Cleveland St. Suite 107,Memphis,TN,38104,35.14912087,-90.01433254,6,8,8,3,5,,,4/16/2025,25000,,,52750,,,,,,,,,,
"Millennium Media Label, LLC ",Neighborhood Project,Inner City Economic Development Loan,1192 Florida St,Memphis,TN,38106,35.11523711,-90.06219315,6,8,8,3,10,,,4/16/2025,25000,,,393600,,,,,,,,,,
Magical Memories Enrichment Center Inc. ,Neighborhood Project,Inner City Economic Development Loan,3727 Lamar Ave,Memphis,TN,38118,35.06328047,-89.93966611,3,8,10,3,2,,,5/21/2025,15933,,,23900,,,,,,,,,,
"Cxffeeblack, LLC ",Neighborhood Project,Inner City Economic Development Loan,3386 Bowen Ave,Memphis,TN,38122,35.153384,-89.94808838,5,9,7,3,2,,,6/25/2025,25000,,,74000,,,,,,,,,,
"Dee�s, LLC d.b.a Dee�s Smokehouse ",Neighborhood Project,Inner City Economic Development Loan,582 E. Raines Rd,Memphis,TN,38109,35.03485917,-90.04490488,6,8,9,3,3,,,6/25/2025,9000,,,13500,,,,,,,,,,
"Eggxactly Breakfast & Deli, Inc. ",Neighborhood Project,Inner City Economic Development Loan,1248 Marlin Rd,Memphis,TN,38116,35.03420394,-90.02244553,3,8,9,3,2,,,6/25/2025,22000,,,33000,,,,,,,,,,
"South Memphis Grocery, LLC ",Neighborhood Project,Inner City Economic Development Loan,9 W Mallory Ave,Memphis,TN,38109,35.08658716,-90.06328608,6,8,8,3,1,,,9/17/2025,25000,,,40105,,,,,,,,,,
"EGG King Cafe, LLC ",Neighborhood Project,Inner City Economic Development Loan,4458 Elvis Presley Blvd,Memphis,TN,38116,35.02694789,-90.0251321,3,8,9,3,4,,,11/19/2025,25000,,,45000,,,,,,,,,,
"No Bluff Tire and Auto, LLC ",Neighborhood Project,Inner City Economic Development Loan,2555 Elvis Presley Blvd,Memphis,TN,38106,35.07551293,-90.0202073,6,8,10,3,2,,,11/19/2025,25000,,,40000,,,,,,,,,,
"Oteka Investments, LLC ",Neighborhood Project,Inner City Economic Development Loan,3349 winbrook drive,Memphis,TN,38116,35.0569036,-89.99764162,3,8,10,3,16,,,11/19/2025,25000,,,150000,,,,,,,,,,
