CompanyName,ProjectType,LoanType,Address,City,State,ZIP_Code,Latitude,Longitude,CityCouncilDistrict,CityCouncilSuperDistrict,CountyCommissionDistrict,Term,ProjectedNewJobs,ProjectedRetainedJobs,AveragePayroll,Approved_Date,LoanAmount,LoanUse,InterestRate,TotalProjectedCapitalInvestment,PCI_RealProperty,PCI_Acquisition,PCI_Construction,PCI_Renovation,PCI_MachineryEquipment,PCI_FurnitureFixturesOffice,PCI_Equipment,PCI_FeesSoftCosts,PCI_PermanentWorkingCapital,PCI_Miscellaneous
Memphis Area Youth Association,Neighborhood Project,Inner City Economic Development Loan,5395 Elvis Presley Boulevard,Memphis,TN,38116,35.0010754,-90.025836,3,8,9,3,4,5,0,8/1/2018,20000,roof replacement ceiling repair facade improvements exterior lighting,0,32743,29270,0,0,3473,0,0,0,0,0,0
Eggxactly Breakfast & Deli,Neighborhood Project,Inner City Economic Development Loan,1248 Marlin Road,Memphis,TN,38116,35.0344031,-90.0223579,3,8,9,3,2,0,0,8/1/2018,20000,exterior improvements signage installation driveway repair,0,33509,20902,0,0,0,0,0,0,0,0,12607
"Scott Street, LLC dba S2F Performance Lab",Neighborhood Project,Inner City Economic Development Loan,678 Scott Street,Memphis,TN,38112,35.1506789,-89.9666906,5,9,7,3,4,2,0,12/5/2018,22000,exterior improvements lighting parking,0,123585,78585,0,0,0,0,0,0,0,0,0
Trap Fusion,Neighborhood Project,Inner City Economic Development Loan,4637 Boeingshire Drive,Memphis,TN,38116,35.0220794,-89.9974864,3,8,9,3,6,0,0,3/6/2019,14500,interior renovations and facade appearance,0,21750,7350,0,0,0,0,0,6450,0,0,7950
"Warehouse Studios, LLC",Neighborhood Project,Inner City Economic Development Loan,358 Walnut Street,Memphis,TN,38126,35.1326317,-90.034622,6,8,8,3,0,14,0,3/6/2019,20000,facade improvements HVAC installation electrical repair,0,73135,30120,0,9970,0,0,0,0,0,0,33045
Mystic Styles Glam Studio,Neighborhood Project,Inner City Economic Development Loan,4466 Elvis Presley Boulevard,Memphis,TN,38116,35.0261665,-90.0239806,3,8,9,3,0,10,0,5/1/2019,12000,completing electrical and plumbing upgrades  new flooring  exterior signage,0,44862,28862,0,0,0,0,16000,0,0,0,0
Als Tasty Burger,Neighborhood Project,Inner City Economic Development Loan,965 East McLemore,Memphis,TN,38106,35.1152055,-90.03001,4,8,8,3,10,0,0,5/1/2019,20000,Buildout of exterior renovations improve visibility,0,38510,29510,0,0,0,0,9000,0,0,0,0
Vann Cut,Neighborhood Project,Inner City Economic Development Loan,2546 North Watkins Street,Memphis,TN,38127,35.1950532,-90.0073955,7,8,8,3,5,0,0,7/10/2019,20000,facade improvements lighting and paint interior renovation electrical plumbing cabinetry structural roof HVAC repair,0,52737,5450,0,0,28925,0,15090,0,0,0,3272
Tambolis Pasta and Pizza,Neighborhood Project,Inner City Economic Development Loan,1761 Madison Avenue,Memphis,TN,38104,35.1378442,-90.0026837,6,8,8,3,16,0,0,7/10/2019,20000,patio enclosure interior renovation electrical and plumbing exterior painting,0,87506,52786,0,0,34720,0,0,0,0,0,0
South Memphis Renewal Community Development Corporation,Neighborhood Project,Inner City Economic Development Loan,991 Mississippis Boulevard,Memphis,TN,38126,35.119814,-90.039276,6,8,8,3,20,0,0,9/4/2019,25000,Assist with construction,0,670000,372000,0,0,155000,0,65000,0,63000,0,15000
Muggin Coffehouse,Neighborhood Project,Inner City Economic Development Loan,1139 Brownlee Road,Memphis,TN,38116,35.0323272,-90.0259762,6,8,9,3,5,0,0,9/4/2019,15000,Complete interior buildout and restroom upgrades,0,26000,26000,0,0,0,0,0,0,0,0,0
Creative Home Academy & Preschool,Neighborhood Project,Inner City Economic Development Loan,1149 Semmes Street,Memphis,TN,38111,35.100257,-89.961403,4,8,10,3,5,0,0,11/6/2019,20000,Exterior Paint and Columns Fencing and Gate Driveway and Parking Lot HVAC Signage,0,41818,37818,0,0,0,0,4000,0,0,0,0
"Stepherson Incorporated, dba Superlo Foods",Neighborhood Project,Inner City Economic Development Loan,2269 Lamar Ave,Memphis,TN,38114,35.1057116,-89.9881962,4,8,10,7,68,0,35513,11/6/2019,100000,Complete equipment financing for a new supermarket,2,650955,0,0,0,0,0,0,0,0,0,0
Bendy Beast Fitness LLC,Neighborhood Project,Inner City Economic Development Loan,1202 Minna Place,Memphis,TN,38104,35.1287886,-90.0216259,6,8,8,3,10,1,0,2/5/2020,20000,Facade Structural Roof and HVAC Landscape and Streetscape Interior Renovation,0,209250,37570,0,0,35840,0,34820,0,59000,0,42020
Alcy Ball Development Corporation,Neighborhood Project,Inner City Economic Development Loan,1672 East Alcy Road,Memphis,TN,38114,35.0779781,-90.0071223,6,8,10,3,0,4,0,2/5/2020,25000,FaÃ§ade Improvements,0,200000,30920,0,0,43567,0,21883,0,73000,0,35065
1570 Vollintine Ave (Timothy S. Hubbard),Neighborhood Project,Inner City Economic Development Loan,1570 Vollintine Avenue,Memphis,TN,38107,35.164435,-90.004932,7,8,7,3,3,0,0,8/7/2020,25000,Construction and Rehab,0,643500,52500,0,0,100000,0,395000,0,0,0,96000
"Haven Representations, LLC dba Nubian Design",Neighborhood Project,Inner City Economic Development Loan,1237 Marlin Rd.,Memphis,TN,38116,35.0337591,-90.022683,3,8,9,3,6,0,0,8/28/2020,16000,Complete exterior upgrades and HVAC installation,0,24000,19500,0,0,0,0,0,0,0,0,4500
"Edna Banks-Hawkins, dba Mot & Eds Southern Eatery",Neighborhood Project,Inner City Economic Development Loan,1030 E. Raines Road,Memphis,TN,38116,35.0355647,-90.029609,6,8,9,3,3,0,0,11/4/2020,15000,"Improve the exterior appearance, increase outdoor seating capacity and complete interior renovation",0,58065,58065,0,0,0,0,0,0,0,0,0
Muhsen Najdawi dba Turbo Knights,Neighborhood Project,Inner City Economic Development Loan,3301 Winbrook Drive,Memphis,TN,38116,35.0585179,-89.9977714,3,8,10,3,2,0,0,12/2/2020,12000,"Improve the exterior appearance, add additional roll up doors and complete interior renovation",0,72700,18000,0,0,0,0,0,0,0,0,0
"The Vineyard, LLC",Neighborhood Project,Inner City Economic Development Loan,4715 Elvis Presley Blvd.,Memphis,TN,38116,35.0199222,-90.0252071,3,8,9,3,2,0,0,4/7/2021,12000,Improvements,0,24274,0,0,0,0,0,4250,20024,0,0,0
Sumadhi Spa Pro Aesthetics Training Center,Neighborhood Project,Inner City Economic Development Loan,1100 East Brooks Road,Memphis,TN,38116,35.0623428,-90.0271483,3,8,10,3,2,1,0,6/2/2021,11000,Help with interior improvements,0,24690,12790,0,0,3700,0,8200,0,0,0,0
Kayes Pints & Scoops,Neighborhood Project,Inner City Economic Development Loan,2089 Winchester Road,Memphis,TN,38116,35.0530767,-89.9941165,3,8,10,3,3,1,0,7/7/2021,15000,exterior and interior improvements,0,100000,23810,0,0,0,0,30772,0,45418,0,0
Snkrr Bar,Neighborhood Project,Inner City Economic Development Loan,1869 Madison Ave,Memphis,TN,38104,35.1374066,-89.9990893,6,8,8,3,0,5,0,8/25/2021,15000,Qualified Improvements,0,57000,20125,0,0,0,0,15000,0,0,0,2499
Restaurant Kora,Neighborhood Project,Inner City Economic Development Loan,4573 Elvis Presley Blvd,Memphis,TN,38116,35.023846,-90.025654,6,8,9,3,8,0,0,8/25/2021,15000,None,0,130400,20996,0,0,2002,0,0,0,0,0,0
Springdale Salon,Neighborhood Project,Inner City Economic Development Loan,1149 Springdale Street,Memphis,TN,38108,35.1677589,-89.984096,7,8,7,3,10,0,0,10/20/2021,20000,"Renovate, open a beauty salon, and make a space ready for rent to a fresh produce market",0,73000,73000,0,0,0,0,0,0,0,0,0
Venture South Productions,Neighborhood Project,Inner City Economic Development Loan,2622 Poplar Avenue,Memphis,TN,38112,35.1374742,-89.9737551,5,9,7,3,1,4,0,10/20/2021,20000,"Complete roof and other exterior repairs, interior upgrades, and HVAC installation",0,41100,19750,0,0,10200,0,0,0,0,0,11150
Heights CDC (3386 Bowen Ave),Neighborhood Project,Inner City Economic Development Loan,3386 Bowen Ave,Memphis,TN,38122,35.1534865,-89.9479641,5,9,7,3,12,3,0,10/20/2021,25000,"Renovate 3386 Bowen, creating a business development center",0,47300,36500,0,0,0,0,0,0,0,0,10800
E.U. Enterprises LLC,Neighborhood Project,Inner City Economic Development Loan,825 Jackson Ave,Memphis,TN,38107,35.1567161,-90.0312111,7,8,8,3,6,0,0,2/16/2022,25000,Restore and make space ready for an artistic business incubator,0,350000,105000,0,0,245000,0,0,0,0,0,0
"Subroy Movement Foundation, Inc. dba Tasche Social Gallery",Neighborhood Project,Inner City Economic Development Loan,1730 Lamar Ave,Memphis,TN,38114,35.1189915,-90.0044627,4,9,13,3,15,0,0,2/16/2022,15000,Renovate and prepare the space for a selfie gallery,0,22500,10050,0,0,4875,0,0,0,0,0,7575
Pollardâ€™s Bar-B-Que,Neighborhood Project,Inner City Economic Development Loan,4560 Elvis Presley Blvd,Memphis,TN,38116,,,3,8,9,3,0,5,0,8/17/2022,25000,Facade Improvements,0,37500,29268,0,0,0,0,0,0,2000,0,6231
The Heights General Partnership - 3393 Summer,Neighborhood Project,Inner City Economic Development Loan,3393 Summer Ave,Memphis,TN,38122,,,5,9,13,3,40,10,0,9/21/2022,75000,"Complete roofing, other exterior repairs, and interior renovations",0,402367,169740,0,0,180000,0,0,54295,22732,0,50600
Gradus Inc. LLC dba Mickeys Popcorn,Neighborhood Project,Inner City Economic Development Loan,3127 Stonebrook Circle,Memphis,TN,38116,35.0632852,-90.0194737,3,8,10,3,1,8,0,12/21/2022,15000,Renovations,0,26500,0,0,0,18000,0,1500,0,0,0,7000
Lot-A-Burger #3 LLC,Neighborhood Project,Inner City Economic Development Loan,2260 South Third St,Memphis,TN,38109,35.0856674,-90.0566023,6,8,8,3,0,2,0,12/21/2022,20000,Renovations,0,70100,54290,0,0,4900,0,6060,0,0,0,4850
The Black Pearl Academy,Neighborhood Project,Inner City Economic Development Loan,938 East Brooks Road,Memphis,TN,38116,35.0621877,-90.0324493,3,8,10,3,0,3,0,2/21/2023,25000,Renovations,0,175303,68553,0,0,122000,0,0,0,8000,0,1750
A Taste of Glennyâ€™s,Neighborhood Project,Inner City Economic Development Loan,972 East Brooks Road,Memphis,TN,38116,35.06226147,-90.03147187,3,8,10,3,6,0,0,4/19/2023,25000,Neighborhood Project,0,62500,27290,0,0,23972,0,0,0,11240,0,0
"Summer Ave. Art & Clay, LLC",Neighborhood Project,Inner City Economic Development Loan,3321 Summer Ave,Memphis,TN,38112,35.14927351,-89.95354806,5,9,13,3,2,3,0,4/19/2023,25000,Neighborhood Project,0,47350,47350,0,0,0,0,0,0,0,0,0
The Locing Barber LLC,Neighborhood Project,Inner City Economic Development Loan,6050 Knight Arnold,Memphis,TN,38115,35.0609213,-89.8615302,3,8,12,3,3,0,0,4/19/2023,15714,Neighborhood Project,0,23572,0,0,0,10882,0,12690,0,0,0,0
